subject	variable	value	sample_plant_anatomical_entity	sample_collection_date	sample_institute	sample_city	sample_country	sample_associated_interval	sample_associated_factor
PI 311735	20:1n-9 gondoic (%)	12.9			Bayer Crop Science		green house in California Bay area		
PI 311736	20:1n-9 gondoic (%)	12.0			Bayer Crop Science		green house in California Bay area		
PI 597833A	20:1n-9 gondoic (%)	13.0			Bayer Crop Science		green house in California Bay area		
PI 597833B	20:1n-9 gondoic (%)	12.5			Bayer Crop Science		green house in California Bay area		
PI 633192	20:1n-9 gondoic (%)	14.4			Bayer Crop Science		green house in California Bay area		
PI 633193	20:1n-9 gondoic (%)	13.6			Bayer Crop Science		green house in California Bay area		
PI 633194	20:1n-9 gondoic (%)	10.5			Bayer Crop Science		green house in California Bay area		
PI 650140	20:1n-9 gondoic (%)	12.2			Bayer Crop Science		green house in California Bay area		
PI 650141	20:1n-9 gondoic (%)	10.7			Bayer Crop Science		green house in California Bay area		
PI 650142A	20:1n-9 gondoic (%)	10.9			Bayer Crop Science		green house in California Bay area		
PI 650142B	20:1n-9 gondoic (%)	11.9			Bayer Crop Science		green house in California Bay area		
PI 650143	20:1n-9 gondoic (%)	11.4			Bayer Crop Science		green house in California Bay area		
PI 650144	20:1n-9 gondoic (%)	13.3			Bayer Crop Science		green house in California Bay area		
PI 650145	20:1n-9 gondoic (%)	12.0			Bayer Crop Science		green house in California Bay area		
PI 650146	20:1n-9 gondoic (%)	10.7			Bayer Crop Science		green house in California Bay area		
PI 650147	20:1n-9 gondoic (%)	13.6			Bayer Crop Science		green house in California Bay area		
PI 650148	20:1n-9 gondoic (%)	12.0			Bayer Crop Science		green house in California Bay area		
PI 650149	20:1n-9 gondoic (%)	12.8			Bayer Crop Science		green house in California Bay area		
PI 650150	20:1n-9 gondoic (%)	12.6			Bayer Crop Science		green house in California Bay area		
PI 650151	20:1n-9 gondoic (%)	12.0			Bayer Crop Science		green house in California Bay area		
PI 650152	20:1n-9 gondoic (%)	16.4			Bayer Crop Science		green house in California Bay area		
PI 650153	20:1n-9 gondoic (%)	14.7			Bayer Crop Science		green house in California Bay area		
PI 650154	20:1n-9 gondoic (%)	13.2			Bayer Crop Science		green house in California Bay area		
PI 650155*	20:1n-9 gondoic (%)	13.5			Bayer Crop Science		green house in California Bay area		
PI 650156	20:1n-9 gondoic (%)	13.5			Bayer Crop Science		green house in California Bay area		
PI 650157A	20:1n-9 gondoic (%)	15.1			Bayer Crop Science		green house in California Bay area		
PI 650157B	20:1n-9 gondoic (%)	13.3			Bayer Crop Science		green house in California Bay area		
PI 650158A	20:1n-9 gondoic (%)	14.3			Bayer Crop Science		green house in California Bay area		
PI 650158B	20:1n-9 gondoic (%)	14.5			Bayer Crop Science		green house in California Bay area		
PI 650159	20:1n-9 gondoic (%)	13.2			Bayer Crop Science		green house in California Bay area		
PI 650163	20:1n-9 gondoic (%)	13.1			Bayer Crop Science		green house in California Bay area		
PI 650164	20:1n-9 gondoic (%)	14.3			Bayer Crop Science		green house in California Bay area		
PI 650165	20:1n-9 gondoic (%)	12.6			Bayer Crop Science		green house in California Bay area		
PI 650166	20:1n-9 gondoic (%)	11.4			Bayer Crop Science		green house in California Bay area		
PI 650167	20:1n-9 gondoic (%)	12.8			Bayer Crop Science		green house in California Bay area		
PI 650168	20:1n-9 gondoic (%)	14.0			Bayer Crop Science		green house in California Bay area		
Suneson	20:1n-9 gondoic (%)	13.0			Bayer Crop Science		green house in California Bay area		
PI 258366	TSW (g)	0.7576			Bayer Crop Science		green house in California Bay area		
PI 258367	TSW (g)	0.8624			Bayer Crop Science		green house in California Bay area		
PI 304269	TSW (g)	0.6608			Bayer Crop Science		green house in California Bay area		
PI 304270	TSW (g)	0.4446			Bayer Crop Science		green house in California Bay area		
PI 304271	TSW (g)	0.6799			Bayer Crop Science		green house in California Bay area		
PI 311735	TSW (g)	1.0219			Bayer Crop Science		green house in California Bay area		
PI 311736	TSW (g)	0.7931			Bayer Crop Science		green house in California Bay area		
PI 597833A	TSW (g)	0.7468			Bayer Crop Science		green house in California Bay area		
PI 597833B	TSW (g)	0.6486			Bayer Crop Science		green house in California Bay area		
PI 633192	TSW (g)	0.6151			Bayer Crop Science		green house in California Bay area		
PI 633193	TSW (g)	0.7759			Bayer Crop Science		green house in California Bay area		
PI 633194	TSW (g)	0.6932			Bayer Crop Science		green house in California Bay area		
PI 650140	TSW (g)	0.913			Bayer Crop Science		green house in California Bay area		
PI 650141	TSW (g)	0.5651			Bayer Crop Science		green house in California Bay area		
PI 650142A	TSW (g)	0.6981			Bayer Crop Science		green house in California Bay area		
PI 650142B	TSW (g)	0.5487			Bayer Crop Science		green house in California Bay area		
PI 650143	TSW (g)	0.1916			Bayer Crop Science		green house in California Bay area		
PI 650144	TSW (g)	0.6113			Bayer Crop Science		green house in California Bay area		
PI 650145	TSW (g)	0.6894			Bayer Crop Science		green house in California Bay area		
PI 650146	TSW (g)	0.8062			Bayer Crop Science		green house in California Bay area		
PI 650147	TSW (g)	0.7902			Bayer Crop Science		green house in California Bay area		
PI 650148	TSW (g)	0.6605			Bayer Crop Science		green house in California Bay area		
PI 650149	TSW (g)	0.5511			Bayer Crop Science		green house in California Bay area		
PI 650150	TSW (g)	0.9297			Bayer Crop Science		green house in California Bay area		
PI 650151	TSW (g)	0.7199			Bayer Crop Science		green house in California Bay area		
PI 650152	TSW (g)	0.3366			Bayer Crop Science		green house in California Bay area		
PI 650153	TSW (g)	1.0473			Bayer Crop Science		green house in California Bay area		
PI 650154	TSW (g)	0.8587			Bayer Crop Science		green house in California Bay area		
