subject	variable	value	sample_plant_anatomical_entity	sample_collection_date	sample_institute	sample_city	sample_country	sample_associated_interval	sample_associated_factor
PI 650144	Flowering (days)	38.0			Bayer Crop Science		green house in California Bay area		
PI 650145	Flowering (days)	35.6			Bayer Crop Science		green house in California Bay area		
PI 650146	Flowering (days)	38.6			Bayer Crop Science		green house in California Bay area		
PI 650147	Flowering (days)	38.6			Bayer Crop Science		green house in California Bay area		
PI 650148	Flowering (days)	41.2			Bayer Crop Science		green house in California Bay area		
PI 650149	Flowering (days)	42.8			Bayer Crop Science		green house in California Bay area		
PI 650150	Flowering (days)	36.2			Bayer Crop Science		green house in California Bay area		
PI 650151	Flowering (days)	36.8			Bayer Crop Science		green house in California Bay area		
PI 650152*	Flowering (days)	37.4			Bayer Crop Science		green house in California Bay area		
PI 650153	Flowering (days)	33.6			Bayer Crop Science		green house in California Bay area		
PI 650154	Flowering (days)	36.0			Bayer Crop Science		green house in California Bay area		
PI 650155*	Flowering (days)	29.2			Bayer Crop Science		green house in California Bay area		
PI 650156	Flowering (days)	35.4			Bayer Crop Science		green house in California Bay area		
PI 650157A*	Flowering (days)	28.6			Bayer Crop Science		green house in California Bay area		
PI 650157B	Flowering (days)	33.5			Bayer Crop Science		green house in California Bay area		
PI 650158A*	Flowering (days)	31.0			Bayer Crop Science		green house in California Bay area		
PI 650158B	Flowering (days)	31.2			Bayer Crop Science		green house in California Bay area		
PI 650159	Flowering (days)	37.0			Bayer Crop Science		green house in California Bay area		
PI 650163	Flowering (days)	29.8			Bayer Crop Science		green house in California Bay area		
PI 650164	Flowering (days)	29.0			Bayer Crop Science		green house in California Bay area		
PI 650165	Flowering (days)	29.0			Bayer Crop Science		green house in California Bay area		
PI 650166	Flowering (days)	33.2			Bayer Crop Science		green house in California Bay area		
PI 650167*	Flowering (days)	39.0			Bayer Crop Science		green house in California Bay area		
PI 650168*	Flowering (days)	29.0			Bayer Crop Science		green house in California Bay area		
Suneson	Flowering (days)	36.8			Bayer Crop Science		green house in California Bay area		
PI 258366	Leaves @Flowering (#)	30.8			Bayer Crop Science		green house in California Bay area		
PI 258367	Leaves @Flowering (#)	31.3			Bayer Crop Science		green house in California Bay area		
PI 304269	Leaves @Flowering (#)	38.0			Bayer Crop Science		green house in California Bay area		
PI 304270	Leaves @Flowering (#)	36.8			Bayer Crop Science		green house in California Bay area		
PI 304271	Leaves @Flowering (#)	28.2			Bayer Crop Science		green house in California Bay area		
PI 311735	Leaves @Flowering (#)	28.3			Bayer Crop Science		green house in California Bay area		
PI 311736*	Leaves @Flowering (#)	20.8			Bayer Crop Science		green house in California Bay area		
PI 597833A	Leaves @Flowering (#)	28.0			Bayer Crop Science		green house in California Bay area		
PI 597833B	Leaves @Flowering (#)	28.9			Bayer Crop Science		green house in California Bay area		
PI 633192	Leaves @Flowering (#)	31.5			Bayer Crop Science		green house in California Bay area		
PI 633193*	Leaves @Flowering (#)	27.4			Bayer Crop Science		green house in California Bay area		
PI 633194	Leaves @Flowering (#)	28.6			Bayer Crop Science		green house in California Bay area		
PI 650140	Leaves @Flowering (#)	27.3			Bayer Crop Science		green house in California Bay area		
PI 650141	Leaves @Flowering (#)	29.4			Bayer Crop Science		green house in California Bay area		
PI 650142A	Leaves @Flowering (#)	19.9			Bayer Crop Science		green house in California Bay area		
PI 650142B	Leaves @Flowering (#)	38.1			Bayer Crop Science		green house in California Bay area		
PI 650143*	Leaves @Flowering (#)	24.0			Bayer Crop Science		green house in California Bay area		
PI 650144	Leaves @Flowering (#)	39.9			Bayer Crop Science		green house in California Bay area		
PI 650145	Leaves @Flowering (#)	34.2			Bayer Crop Science		green house in California Bay area		
PI 650146	Leaves @Flowering (#)	30.6			Bayer Crop Science		green house in California Bay area		
