subject	variable	value	sample_plant_anatomical_entity	sample_collection_date	sample_institute	sample_city	sample_country	sample_associated_interval	sample_associated_factor
PI 650151	Mean seed length (mm)	2.01			Bayer Crop Science		green house in California Bay area		
PI 650152	Mean seed length (mm)	1.38			Bayer Crop Science		green house in California Bay area		
PI 650153	Mean seed length (mm)	2.01			Bayer Crop Science		green house in California Bay area		
PI 650154	Mean seed length (mm)	1.79			Bayer Crop Science		green house in California Bay area		
PI 650155	Mean seed length (mm)	1.7			Bayer Crop Science		green house in California Bay area		
PI 650156	Mean seed length (mm)	1.78			Bayer Crop Science		green house in California Bay area		
PI 650157A	Mean seed length (mm)	1.69			Bayer Crop Science		green house in California Bay area		
PI 650157B	Mean seed length (mm)	1.97			Bayer Crop Science		green house in California Bay area		
PI 650158A	Mean seed length (mm)	1.93			Bayer Crop Science		green house in California Bay area		
PI 650158B	Mean seed length (mm)	1.86			Bayer Crop Science		green house in California Bay area		
PI 650159	Mean seed length (mm)	1.99			Bayer Crop Science		green house in California Bay area		
PI 650163	Mean seed length (mm)	1.83			Bayer Crop Science		green house in California Bay area		
PI 650164	Mean seed length (mm)	1.77			Bayer Crop Science		green house in California Bay area		
PI 650165	Mean seed length (mm)	1.99			Bayer Crop Science		green house in California Bay area		
PI 650166	Mean seed length (mm)	1.83			Bayer Crop Science		green house in California Bay area		
PI 650167	Mean seed length (mm)	1.2			Bayer Crop Science		green house in California Bay area		
PI 650168	Mean seed length (mm)	1.73			Bayer Crop Science		green house in California Bay area		
Suneson	Mean seed length (mm)	1.94			Bayer Crop Science		green house in California Bay area		
PI 258366	L:W Ratio	2.12			Bayer Crop Science		green house in California Bay area		
PI 258367	L:W Ratio	2.0			Bayer Crop Science		green house in California Bay area		
PI 304269	L:W Ratio	2.17			Bayer Crop Science		green house in California Bay area		
PI 304270	L:W Ratio	2.57			Bayer Crop Science		green house in California Bay area		
PI 304271	L:W Ratio	1.95			Bayer Crop Science		green house in California Bay area		
PI 311735	L:W Ratio	1.85			Bayer Crop Science		green house in California Bay area		
PI 311736	L:W Ratio	1.9			Bayer Crop Science		green house in California Bay area		
PI 597833A	L:W Ratio	2.03			Bayer Crop Science		green house in California Bay area		
PI 597833B	L:W Ratio	1.9			Bayer Crop Science		green house in California Bay area		
PI 633192	L:W Ratio	2.02			Bayer Crop Science		green house in California Bay area		
PI 633193	L:W Ratio	1.95			Bayer Crop Science		green house in California Bay area		
PI 633194	L:W Ratio	2.11			Bayer Crop Science		green house in California Bay area		
PI 650140	L:W Ratio	2.09			Bayer Crop Science		green house in California Bay area		
PI 650141	L:W Ratio	2.05			Bayer Crop Science		green house in California Bay area		
PI 650142A	L:W Ratio	2.19			Bayer Crop Science		green house in California Bay area		
PI 650142B	L:W Ratio	2.3			Bayer Crop Science		green house in California Bay area		
PI 650143	L:W Ratio	1.87			Bayer Crop Science		green house in California Bay area		
PI 650144	L:W Ratio	2.29			Bayer Crop Science		green house in California Bay area		
PI 650145	L:W Ratio	2.18			Bayer Crop Science		green house in California Bay area		
PI 650146	L:W Ratio	2.55			Bayer Crop Science		green house in California Bay area		
PI 650147	L:W Ratio	2.56			Bayer Crop Science		green house in California Bay area		
PI 650148	L:W Ratio	2.39			Bayer Crop Science		green house in California Bay area		
PI 650149	L:W Ratio	2.26			Bayer Crop Science		green house in California Bay area		
PI 650150	L:W Ratio	2.3			Bayer Crop Science		green house in California Bay area		
PI 650151	L:W Ratio	2.62			Bayer Crop Science		green house in California Bay area		
PI 650152	L:W Ratio	1.74			Bayer Crop Science		green house in California Bay area		
PI 650153	L:W Ratio	2.17			Bayer Crop Science		green house in California Bay area		
PI 650154	L:W Ratio	1.9			Bayer Crop Science		green house in California Bay area		
PI 650155	L:W Ratio	1.82			Bayer Crop Science		green house in California Bay area		
PI 650156	L:W Ratio	2.21			Bayer Crop Science		green house in California Bay area		
PI 650157A	L:W Ratio	1.89			Bayer Crop Science		green house in California Bay area		
PI 650157B	L:W Ratio	1.99			Bayer Crop Science		green house in California Bay area		
PI 650158A	L:W Ratio	2.04			Bayer Crop Science		green house in California Bay area		
PI 650158B	L:W Ratio	1.98			Bayer Crop Science		green house in California Bay area		
PI 650159	L:W Ratio	1.94			Bayer Crop Science		green house in California Bay area		
PI 650163	L:W Ratio	1.91			Bayer Crop Science		green house in California Bay area		
PI 650164	L:W Ratio	2.02			Bayer Crop Science		green house in California Bay area		
PI 650165	L:W Ratio	2.11			Bayer Crop Science		green house in California Bay area		
PI 650166	L:W Ratio	2.05			Bayer Crop Science		green house in California Bay area		
PI 650167	L:W Ratio	1.76			Bayer Crop Science		green house in California Bay area		
PI 650168	L:W Ratio	1.81			Bayer Crop Science		green house in California Bay area		
Suneson	L:W Ratio	2.0			Bayer Crop Science		green house in California Bay area		
